رسیپی_آئی_ڈی,اجزاء_نمبر,جزو_کا_نام,مقدار
RCP00056,۳,ٹماٹر,۲ عدد
RCP00056,۴,پیاز,۱ عدد
RCP00056,۵,لہسن,۲ جو
RCP00056,۶,ہلدی,۱/۲ چائے کا چمچ
RCP00056,۷,کالی مرچ,۱/۲ چائے کا چمچ
RCP00056,۸,پانی,۵ کپ
RCP00056,۹,نمک,حسبِ ذائقہ
RCP00057,۱,گاجر,۱ عدد
RCP00057,۲,آلو,۱ عدد
RCP00057,۳,مئی / کون,۱/۲ کپ
RCP00057,۴,گوبھی,۱ کپ
RCP00057,۵,پیاز,۱ عدد
RCP00057,۶,دودھ,۱ کپ
RCP00057,۷,کریم,۱۰۰ ملی لیٹر
RCP00057,۸,سبزیوں کی یخنی,۴ کپ
RCP00057,۹,کالی مرچ,۱/۲ چائے کا چمچ
RCP00057,۱۰,مکھن,۲ کھانے کا چمچ
RCP00057,۱۱,نمک,حسبِ ذائقہ
RCP00058,۱,گاجر,۱ کلو گرام
RCP00058,۲,دودھ,۱ لیٹر
RCP00058,۳,چینی,۲۰۰ گرام
RCP00058,۴,گھی,۴ کھانے کا چمچ
RCP00058,۵,الائچی,۴ عدد
RCP00058,۶,کھویا,۱۵۰ گرام
RCP00058,۷,بادام,۲ کھانے کا چمچ
RCP00058,۸,پستہ,۲ کھانے کا چمچ
RCP00059,۱,بریڈ,۶ سلائس
RCP00059,۲,دودھ,۱ لیٹر
RCP00059,۳,چینی,۱۵۰ گرام
RCP00059,۴,کریم,۱۰۰ ملی لیٹر
RCP00059,۵,الائچی,۳ عدد
RCP00059,۶,بادام,۲ کھانے کا چمچ
RCP00059,۷,پستہ,۲ کھانے کا چمچ
RCP00059,۸,گھی / تیل,تلنے کے لیے
RCP00060,۱,چاول,۱/۲ کپ
RCP00060,۲,دودھ,۱.۵ لیٹر
RCP00060,۳,چینی,۱۵۰ گرام
RCP00060,۴,الائچی,۴ عدد
RCP00060,۵,بادام,۲ کھانے کا چمچ
RCP00060,۶,پستہ,۲ کھانے کا چمچ
RCP00060,۷,کھویا,۱۰۰ گرام
